j αj a1 b1 c1 a2 b2 c2 a3 b3 c3
1 14.34267159730358 1.180270056381577 0.07195101071267996 0.5299345325943254 9.01320520984288 0.092675711955144 0.5396431787675333 7.21030205171728 0.0740833092851918 0.4120341150720884
2 5.175360849250056 6.168993733519782 0.082993252991643 0.5167227315230085 8.30495143619142 0.0890145060213322 0.4169122081529295 8.80487613349391 0.0965994509648079 0.5711057094413816
3 0.835534193378979 9.08090433047071 0.07685302774688097 0.5622686436063149 3.911674577648888 0.07551832009012722 0.5086649497775319 1.809709070880952 0.095976684502697 0.4024220371493795
4 -5.373806223157635 8.69723148795899 0.06384871663070496 0.5859464293596277 8.67330877015531 0.0876928787020957 0.4850650257010839 4.189229162595343 0.04518368077127609 0.5819244871260409
5 -0.3190730633815225 1.880199805158718 0.03425540298495952 0.4874044587130534 3.541514636747403 0.0983660639956121 0.4515151404198366 9.82668062409708 0.03264617089733192 0.4352642564533179
6 0.4351315890942081 3.522977833467916 0.07218055206599771 0.4489170887611125 3.332712157375289 0.07852548530734836 0.5852941028010116 8.14461268619626 0.04848929881736392 0.5484789894348707
7 -5.783654943336363 5.286896436167961 0.04973324501652048 0.4653609943491444 7.135152688153955 0.0956349249199585 0.4408949440211174 2.243825016881491 0.05865588304821763 0.5687481170088626
8 5.857253335721763 1.896112874949486 0.03260897886438952 0.4501033283280557 5.885541925485173 0.06240932269593134 0.5618611754744713 6.486450948532671 0.07293633775145438 0.5695359084287562
9 0.3627795973240678 7.516612508143043 0.0993184090181399 0.5699793290550055 5.262683987610352 0.0972169632428748 0.4726711603381638 8.89032075863951 0.05632091198742537 0.4056148051043074
10 29.95678925033907 8.49309248159469 0.0647507853307116 0.4481376527388373 3.62263291813646 0.04018659271978259 0.5253173968297499 1.155756643175955 0.0910615024672208 0.5870317055827734
11 -8.10086522849575 7.105439309279282 0.0843184446680493 0.4223871323591302 4.606936643431428 0.06326693058647106 0.5381643193286885 2.832289239384128 0.07970384658584057 0.4171275695759011
12 -1.631527652578485 8.53955034289036 0.07284904722467074 0.5839058233689045 1.340024891088614 0.0781592051575039 0.5383353695983426 7.396341414064901 0.05945110164542845 0.4924043842188951
13 11.0617514474351 7.853417776611835 0.07070077317679758 0.5080787363762617 4.408481706562826 0.06298528328388489 0.4611686076617371 7.90542867326401 0.03887933278705098 0.5872227397532248
14 4.44089329011033 6.39698431139937 0.05730660668578378 0.5964415398755241 5.472334579600375 0.06570186368826426 0.5473728709183074 4.715521015256764 0.0803629674069167 0.5354179520994888
15 2.731504789238804 4.228544205571447 0.06071899009977901 0.4135235776817701 2.550224851908171 0.06424771468342688 0.5203395167113864 4.842862964307187 0.06333995603635176 0.5244121975227667
16 -12.35513145514341 2.579686666551495 0.0664318905447018 0.4888525450630048 3.764107410086705 0.06576720199559433 0.5481686020053234 1.399253719979948 0.07540490302513119 0.4655456988965731
17 11.55095248921101 1.107700596345898 0.05955381913217193 0.5359207521608914 2.706093393731662 0.06561841006617781 0.4269114966922994 1.501048590877154 0.06352034496843162 0.4331821043592771
18 0.1703484854064119 8.26435624701031 0.04624196264776803 0.4236237608297072 7.025290029097274 0.07980750197266955 0.4683927184025036 2.822503099972245 0.05222522416667061 0.4810998521431096
19 -0.13017855474333 8.74124547878586 0.0628793144768381 0.4736196423196364 8.59166251408243 0.084738261964188 0.4564662508099403 8.22877749776242 0.03727774324972055 0.4697350798193826
20 -1.646528531854399 4.545173787725101 0.03433189693421491 0.4919021595234177 1.726935494533148 0.03135796595505673 0.580800322296872 2.502191185545461 0.0856788809687475 0.5909621331611888
21 -2.371179702223466 1.015154584908506 0.07726595708511765 0.4008988537732911 6.688534202733123 0.0869544063742346 0.403293222827825 6.297133313147086 0.03345369328197418 0.5433070470097552
